datahora,Observado
2012-06-21 00:00:00+00:00,1812.6783333333333
2012-06-22 00:00:00+00:00,1795.8883333333333
2012-06-23 00:00:00+00:00,1793.0504166666667
2012-06-24 00:00:00+00:00,1799.2733333333333
2012-06-25 00:00:00+00:00,1756.1016666666667
2012-06-26 00:00:00+00:00,1687.37625
2012-06-27 00:00:00+00:00,1606.0249999999999
2012-06-28 00:00:00+00:00,1520.2508333333333
2012-06-29 00:00:00+00:00,1429.4208333333333
2012-06-30 00:00:00+00:00,1334.2745833333333
2012-07-01 00:00:00+00:00,1232.0758333333333
2012-07-02 00:00:00+00:00,1130.17625
2012-07-03 00:00:00+00:00,1030.1141666666665
2012-07-04 00:00:00+00:00,936.2083333333334
2012-07-05 00:00:00+00:00,837.2116666666667
2012-07-06 00:00:00+00:00,723.3733333333333
2012-07-07 00:00:00+00:00,588.6829166666666
2012-07-08 00:00:00+00:00,496.68833333333333
2012-07-09 00:00:00+00:00,450.8933333333334
2012-07-10 00:00:00+00:00,436.51208333333335
2012-07-11 00:00:00+00:00,431.75458333333336
2012-07-12 00:00:00+00:00,426.14875
2012-07-13 00:00:00+00:00,422.9475
2012-07-14 00:00:00+00:00,424.57916666666665
2012-07-15 00:00:00+00:00,424.6045833333333
2012-07-16 00:00:00+00:00,424.13208333333336
2012-07-17 00:00:00+00:00,419.60791666666665
2012-07-18 00:00:00+00:00,428.95166666666665
2012-07-19 00:00:00+00:00,515.2425
2012-07-20 00:00:00+00:00,594.7241666666666
2012-07-21 00:00:00+00:00,613.1279166666667
2012-07-22 00:00:00+00:00,619.5066666666667
2012-07-23 00:00:00+00:00,614.4404166666667
2012-07-24 00:00:00+00:00,585.9591666666666
2012-07-25 00:00:00+00:00,549.2016666666667
2012-07-26 00:00:00+00:00,515.6383333333333
2012-07-27 00:00:00+00:00,512.4595833333334
2012-07-28 00:00:00+00:00,580.7183333333334
2012-07-29 00:00:00+00:00,832.7029166666666
2012-07-30 00:00:00+00:00,887.4675000000001
2012-07-31 00:00:00+00:00,970.785
2012-08-01 00:00:00+00:00,1086.6270833333333
2012-08-02 00:00:00+00:00,1149.8570833333333
2012-08-03 00:00:00+00:00,1174.3966666666668
2012-08-04 00:00:00+00:00,1167.4116666666666
2012-08-05 00:00:00+00:00,1147.52625
2012-08-06 00:00:00+00:00,1123.4012500000001
2012-08-07 00:00:00+00:00,1081.4483333333335
2012-08-08 00:00:00+00:00,1020.1404166666666
2012-08-09 00:00:00+00:00,940.9391666666667
2012-08-10 00:00:00+00:00,846.4387499999999
2012-08-11 00:00:00+00:00,748.1970833333334
2012-08-12 00:00:00+00:00,646.2099999999999
2012-08-13 00:00:00+00:00,563.7433333333333
2012-08-14 00:00:00+00:00,504.97583333333336
2012-08-15 00:00:00+00:00,460.24625
2012-08-16 00:00:00+00:00,419.70666666666665
2012-08-17 00:00:00+00:00,381.57874999999996
2012-08-18 00:00:00+00:00,351.70374999999996
2012-08-19 00:00:00+00:00,326.15125
2012-08-20 00:00:00+00:00,309.08125
2012-08-21 00:00:00+00:00,293.3379166666667
2012-08-22 00:00:00+00:00,283.37375000000003
2012-08-23 00:00:00+00:00,273.13125
2012-08-24 00:00:00+00:00,261.90916666666664
2012-08-25 00:00:00+00:00,249.13833333333332
2012-08-26 00:00:00+00:00,244.30791666666667
2012-08-27 00:00:00+00:00,233.2854166666667
2012-08-28 00:00:00+00:00,228.905
2012-08-29 00:00:00+00:00,225.0175
2012-08-30 00:00:00+00:00,222.65291666666667
2012-08-31 00:00:00+00:00,219.24458333333334
2012-09-01 00:00:00+00:00,216.8175
2012-09-02 00:00:00+00:00,214.7458333333333
2012-09-03 00:00:00+00:00,214.52791666666667
2012-09-04 00:00:00+00:00,213.7275
2012-09-05 00:00:00+00:00,206.8125
2012-09-06 00:00:00+00:00,202.10791666666668
2012-09-07 00:00:00+00:00,189.9375
2012-09-08 00:00:00+00:00,177.17083333333335
2012-09-09 00:00:00+00:00,171.02541666666664
2012-09-10 00:00:00+00:00,167.49
2012-09-11 00:00:00+00:00,160.6825
2012-09-12 00:00:00+00:00,168.40541666666667
2012-09-13 00:00:00+00:00,169.0325
2012-09-14 00:00:00+00:00,167.53
